JournalCode	JournalLib	EcritureNum	LigneNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	CompteLibAouX	PieceRef	PieceRefInt	PieceDate	PieceEcheance	EcritureLib	NatureCode	NatureLib	EcritureLet	DateLet	PaiementCode	PaiementLib	ValidDate	CreationDate	CreationHeure	CreationUtilisateur	ModifDate	ModifHeure	ModifUtilisateur	Credit	Debit	Montant	Sens	MontantSigne	Sens	Montantdevise	Idevise	Vide
AB	ABONNEMENTS	1	15168	01/04/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 04 681100	&						01/04/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	1	15169	01/04/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 04 681100	&						01/04/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	2	15170	01/05/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 05 681100	&						01/05/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	2	15171	01/05/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 05 681100	&						01/05/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	3	15172	01/06/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 06 681100	&						01/06/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	3	15173	01/06/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 06 681100	&						01/06/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	4	15174	01/07/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 07 681100	&						01/07/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	4	15175	01/07/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 07 681100	&						01/07/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	5	15176	01/08/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 08 681100	&						01/08/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	5	15177	01/08/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 08 681100	&						01/08/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	6	15178	01/09/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 09 681100	&						01/09/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	6	15179	01/09/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 09 681100	&						01/09/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	7	15180	01/10/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 10 681100	&						01/10/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	7	15181	01/10/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 10 681100	&						01/10/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	8	15182	01/11/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 11 681100	&						01/11/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	8	15183	01/11/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 11 681100	&						01/11/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	9	15184	01/12/2020	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 12 681100	&						01/12/2020	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	9	15185	01/12/2020	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 12 681100	&						01/12/2020	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
AB	ABONNEMENTS	10	15186	01/01/2021	681100	DOT. AUX AMORT. CH EXPL.			DOT. AUX AMORT. CH EXPL.			15/11/2020		Abonnement 01 681100	&						01/01/2021	25/02/2022	09:50:57	JM				0,00	2286,74	2286,74	D	2286,74	+1			
AB	ABONNEMENTS	10	15187	01/01/2021	488600	CHARGES CONSTATEES D AVANCE			CHARGES CONSTATEES D AVANCE			15/11/2020		Abonnement 01 681100	&						01/01/2021	25/02/2022	09:50:57	JM				2286,74	0,00	2286,74	C	-2286,74	-1			
